Время,A * B
(mс),(?)

-1.00015104,0.08204501
-0.99983104,0.09478500
-0.99951104,0.10327830
-0.99919104,0.11612550
-0.99887104,0.12451170
-0.99855104,0.13818590
-0.99823104,0.14151260
-0.99791104,0.15425260
-0.99759104,0.16467320
-0.99727104,0.17349740
-0.99695104,0.18232160
-0.99663104,0.19114570
-0.99631104,0.19996990
-0.99599104,0.20879410
-0.99567104,0.20879410
-0.99535104,0.21761820
-0.99503104,0.22203030
-0.99471104,0.22644240
-0.99439104,0.23085450
-0.99407104,0.23526660
-0.99375104,0.23526660
-0.99343104,0.23526660
-0.99311104,0.24866480
-0.99279104,0.23967870
-0.99247104,0.23967870
-0.99215104,0.24866480
-0.99183104,0.23967870
-0.99151104,0.23967870
-0.99119104,0.24408720
-0.99087104,0.25290790
-0.99055104,0.23950970
-0.99023104,0.23493220
-0.98991104,0.23035470
-0.98959104,0.23393620
-0.98927104,0.22119970
-0.98895104,0.21204470
-0.98863104,0.21496450
-0.98831104,0.20547870
-0.98799104,0.20073580
-0.98767104,0.18650700
-0.98735104,0.18176410
-0.98703104,0.16753530
-0.98671104,0.16279240
-0.98639104,0.14854770
-0.98607104,0.13906180
-0.98575104,0.12957600
-0.98543104,0.11534720
-0.98511104,0.10586140
-0.98479104,0.09163260
-0.98447104,0.08214676
-0.98415104,0.07266091
-0.98383104,0.05556174
-0.98351104,0.04574506
-0.98319104,0.02997462
-0.98287104,0.01629503
-0.98255104,0.00157001
-0.98223104,-0.00824667
-0.98191104,-0.02297169
-0.98159104,-0.03769671
-0.98127104,-0.05242173
-0.98095104,-0.06223841
-0.98063104,-0.07696342
-0.98031104,-0.09168845
-0.97999104,-0.10150510
-0.97967104,-0.11132180
-0.97935104,-0.12604680
-0.97903104,-0.13586350
-0.97871104,-0.15568070
-0.97839104,-0.16582820
-0.97807104,-0.17597570
-0.97775104,-0.18005510
-0.97743104,-0.19627070
-0.97711104,-0.20641830
-0.97679104,-0.21149200
-0.97647104,-0.22163950
-0.97615104,-0.23178710
-0.97583104,-0.24193460
-0.97551104,-0.24193460
-0.97519104,-0.25208210
-0.97487104,-0.25715580
-0.97455104,-0.27077900
-0.97423104,-0.26730340
-0.97391104,-0.27601820
-0.97359104,-0.27601820
-0.97327104,-0.28649650
-0.97295104,-0.28125740
-0.97263104,-0.28649650
-0.97231104,-0.28649650
-0.97199104,-0.28125740
-0.97167104,-0.29013760
-0.97135104,-0.29013760
-0.97103104,-0.28473300
-0.97071104,-0.27601820
-0.97039104,-0.27077900
-0.97007104,-0.27392380
-0.96975104,-0.26851920
-0.96943104,-0.26311460
-0.96911104,-0.25230540
-0.96879104,-0.24690080
-0.96847104,-0.23609160
-0.96815104,-0.23068710
-0.96783104,-0.21987790
-0.96751104,-0.20906870
-0.96719104,-0.19825950
-0.96687104,-0.19318760
-0.96655104,-0.17664110
-0.96623104,-0.16583190
-0.96591104,-0.15974870
-0.96559104,-0.14303870
-0.96527104,-0.13189870
-0.96495104,-0.11518860
-0.96463104,-0.10404860
-0.96431104,-0.08733857
-0.96399104,-0.07062853
-0.96367104,-0.05391848
-0.96335104,-0.04277846
-0.96303104,-0.03163843
-0.96271104,-0.00935837
-0.96239104,0.00178165
-0.96207104,0.01849170
-0.96175104,0.03624716
-0.96143104,0.05345346
-0.96111104,0.06862182
-0.96079104,0.08213063
-0.96047104,0.09360149
-0.96015104,0.11080780
-0.95983104,0.12801410
-0.95951104,0.13948490
-0.95919104,0.15669120
-0.95887104,0.16816210
-0.95855104,0.17963300
-0.95823104,0.19112310
-0.95791104,0.20832950
-0.95759104,0.21406490
-0.95727104,0.22553580
-0.95695104,0.23700660
-0.95663104,0.24847750
-0.95631104,0.26744570
-0.95599104,0.27924730
-0.95567104,0.27924730
-0.95535104,0.29104910
-0.95503104,0.29694990
-0.95471104,0.30285080
-0.95439104,0.31740690
-0.95407104,0.32347310
-0.95375104,0.32347310
-0.95343104,0.32055330
-0.95311104,0.32953940
-0.95279104,0.32953940
-0.95247104,0.32953940
