t (s),V (mV)
0,12.8724
1.565,12.728
3.606,12.5443
5.646,12.3647
7.687,12.1877
9.728,12.0142
11.768,11.8434
13.809,11.6759
15.849,11.5111
17.89,11.35
19.931,11.1913
21.971,11.0345
25.041,10.8033
26.602,10.6871
28.641,10.5386
30.681,10.3937
32.72,10.2509
34.759,10.1094
36.8,9.9708
38.84,9.835
40.881,9.7001
42.921,9.5672
44.961,9.4366
48.028,9.2481
49.592,9.1509
51.633,9.027
53.673,8.9045
55.713,8.7841
57.754,8.6654
59.794,8.5492
61.835,8.4337
63.875,8.3201
65.915,8.2081
67.956,8.0997
71.022,7.9385
72.586,7.8547
74.627,7.749
76.667,7.6463
78.707,7.5425
80.748,7.4406
82.788,7.3405
84.829,7.2413
86.869,7.1436
88.909,7.0482
90.95,6.9535
93.064,6.8583
94.627,6.7843
96.668,6.6923
98.708,6.6014
100.748,6.5138
102.789,6.4254
104.829,6.3402
106.869,6.256
108.909,6.1724
110.949,6.0893
112.99,6.0089
115.034,5.9281
117.62,5.83
119.66,5.7521
121.7,5.6754
