date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2019-03-25, 14:59:18	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2019-03-25, 14:59:20	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2019-03-25, 14:59:22	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2019-03-25, 14:59:24	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2019-03-25, 14:59:26	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2019-03-25, 14:59:28	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2019-03-25, 14:59:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 14:59:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 14:59:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 14:59:36	0 Hz	0 W	3,8E0 mbar	3,7E0 mbar
2019-03-25, 14:59:38	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 14:59:40	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 14:59:42	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 14:59:44	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 14:59:46	0 Hz	0 W	3,7E0 mbar	3,6E0 mbar
2019-03-25, 14:59:48	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 14:59:50	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 14:59:52	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 14:59:54	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 14:59:56	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 14:59:58	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2019-03-25, 15:00:00	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:00:02	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:00:04	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:00:06	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:00:08	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:00:10	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:00:12	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:00:14	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:16	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:18	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:20	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:22	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:24	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:26	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:28	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:30	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:32	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:34	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:36	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:00:38	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:40	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:42	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:44	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:46	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:48	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:50	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:52	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:54	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:56	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:00:58	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:00	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:02	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:04	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:06	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:08	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:10	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:12	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:14	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:01:16	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:01:18	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:01:20	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
