B;X;M;LB;DLB
0.05;18.5;2;0.108108108108108;0.005405405405405
0.1;12;2;0.166666666666667;0.008333333333333
0.15;17.5;4;0.228571428571429;0.005714285714286
0.2;14.8;4;0.27027027027027;0.006756756756757
0.25;10.1;9;0.891089108910891;0.00990099009901
0.3;7.8;12;1.53846153846154;0.012820512820513
0.35;9.8;22;2.24489795918367;0.010204081632653
0.4;7.1;22;3.09859154929577;0.014084507042254
0.45;7.2;26;3.61111111111111;0.013888888888889
0.5;5.6;26;4.64285714285714;0.017857142857143
