t1	-U1
0.00	0.0
19.98	0.03
41.98	0.06
61.98	0.09
83.98	0.13
103.98	0.16
125.98	0.19
145.98	0.22
167.98	0.26
187.98	0.29
209.98	0.32
229.98	0.35
251.98	0.38
271.98	0.41
293.98	0.44
313.98	0.47
335.98	0.50
355.98	0.53
377.98	0.56
397.98	0.59
419.98	0.62
439.98  0.65
461.98  0.68
481.98  0.71
