t4	-U4
0.00	0.00
34.91	0.02
69.91	0.04
104.91	0.07
139.91	0.09
174.91	0.11
209.91	0.13
244.91	0.15
279.91	0.17
314.91	0.19
349.91	0.20
384.91	0.22
419.91	0.24
454.91	0.26
489.91	0.28
524.91	0.30
559.91	0.31
594.91	0.33
629.91	0.35
664.91	0.37
699.91	0.38
734.91	0.40
769.91	0.42
804.91	0.44
