t3	-U3
0.00	0.00
41.81	0.03
83.81	0.06
125.81	0.09
167.81	0.13
209.81	0.16
251.81	0.19
293.81	0.22
335.81	0.25
377.81	0.28
419.81	0.31
461.81	0.34
503.81	0.36
545.81	0.39
587.81	0.42
629.81	0.45
671.81	0.48
713.81	0.50
755.81	0.53
797.81	0.56
839.81	0.59
881.81	0.61
923.81	0.64
957.81	0.66
