Частота,A * B
(kГц),(?)

0.00000000,0.00192268
0.02384186,0.00085959
0.04768372,0.00027932
0.07152557,0.00012991
0.09536743,0.00002573
0.11920929,0.00010206
0.14305115,0.00008660
0.16689301,0.00003104
0.19073486,0.00010726
0.21457672,0.00019962
0.23841858,0.00012797
0.26226044,0.00011225
0.28610229,0.00013076
0.30994415,0.00008617
0.33378601,0.00013546
0.35762787,0.00011599
0.38146973,0.00008373
0.40531158,0.00009814
0.42915344,0.00001593
0.45299530,0.00008174
0.47683716,0.00004399
0.50067902,0.00001241
0.52452087,0.00003637
0.54836273,0.00006945
0.57220459,0.00008609
0.59604645,0.00005511
0.61988831,0.00009573
0.64373016,0.00017010
0.66757202,0.00013297
0.69141388,0.00009020
0.71525574,0.00010988
0.73909760,0.00011136
0.76293945,0.00037520
0.78678131,0.00042730
0.81062317,0.00024795
0.83446503,0.00016975
0.85830688,0.00016704
0.88214874,0.00017666
0.90599060,0.00013133
0.92983246,0.00013268
0.95367432,0.00012580
0.97751617,0.00022160
1.00135803,0.00037478
1.02519989,0.00026904
1.04904175,0.00010147
1.07288361,0.00003062
1.09672546,0.00013058
1.12056732,0.00020512
1.14440918,0.00012288
1.16825104,0.00004146
1.19209290,0.00012825
1.21593475,0.00016481
1.23977661,0.00015913
1.26361847,0.00014111
1.28746033,0.00005025
1.31130219,0.00015966
1.33514404,0.00022040
1.35898590,0.00014539
1.38282776,0.00004463
1.40666962,0.00015292
1.43051147,0.00015194
1.45435333,0.00011637
1.47819519,0.00009195
1.50203705,0.00017159
1.52587891,0.00028954
1.54972076,0.00031962
1.57356262,0.00025676
1.59740448,0.00013462
1.62124634,0.00004752
1.64508820,0.00001683
1.66893005,0.00004925
1.69277191,0.00016470
1.71661377,0.00020559
1.74045563,0.00010778
1.76429749,0.00006489
1.78813934,0.00015046
1.81198120,0.00008402
1.83582306,0.00001008
1.85966492,0.00003552
1.88350677,0.00001013
1.90734863,0.00003833
1.93119049,0.00015906
1.95503235,0.00019496
1.97887421,0.00018115
2.00271606,0.00026753
2.02655792,0.00017677
2.05039978,0.00005486
2.07424164,0.00001723
2.09808350,0.00006064
2.12192535,0.00012616
2.14576721,0.00011943
2.16960907,0.00010965
2.19345093,0.00017854
2.21729279,0.00016318
2.24113464,0.00014725
2.26497650,0.00014600
2.28881836,0.00011115
2.31266022,0.00007264
2.33650208,0.00026020
2.36034393,0.00026558
2.38418579,0.00019647
2.40802765,0.00012065
2.43186951,0.00009917
2.45571136,0.00006821
2.47955322,0.00002668
2.50339508,0.00012168
2.52723694,0.00011899
2.55107880,0.00005632
2.57492065,0.00007468
2.59876251,0.00009708
2.62260437,0.00008786
2.64644623,0.00012723
2.67028809,0.00014042
2.69412994,0.00011490
2.71797180,0.00007920
2.74181366,0.00001041
2.76565552,0.00008991
2.78949738,0.00011559
2.81333923,0.00006264
2.83718109,0.00004943
2.86102295,0.00006057
2.88486481,0.00005537
2.90870667,0.00008994
2.93254852,0.00009443
2.95639038,0.00012635
2.98023224,0.00020174
3.00407410,0.00026703
3.02791595,0.00027330
3.05175781,0.00020621
3.07559967,0.00011118
3.09944153,0.00000940
3.12328339,0.00018697
3.14712524,0.00024611
