Частота,A * B
(kГц),(?)

0.00000000,0.00154144
0.02384186,0.00068358
0.04768372,0.00017054
0.07152557,0.00006176
0.09536743,0.00005238
0.11920929,0.00002053
0.14305115,0.00002254
0.16689301,0.00010733
0.19073486,0.00005603
0.21457672,0.00013008
0.23841858,0.00017758
0.26226044,0.00012361
0.28610229,0.00011547
0.30994415,0.00017490
0.33378601,0.00016591
0.35762787,0.00010488
0.38146973,0.00012196
0.40531158,0.00011615
0.42915344,0.00003900
0.45299530,0.00010956
0.47683716,0.00014428
0.50067902,0.00011042
0.52452087,0.00014431
0.54836273,0.00022936
0.57220459,0.00013436
0.59604645,0.00005695
0.61988831,0.00010844
0.64373016,0.00007153
0.66757202,0.00006317
0.69141388,0.00011287
0.71525574,0.00008829
0.73909760,0.00008360
0.76293945,0.00017105
0.78678131,0.00012557
0.81062317,0.00011221
0.83446503,0.00012511
0.85830688,0.00012531
0.88214874,0.00015578
0.90599060,0.00015223
0.92983246,0.00011044
0.95367432,0.00018020
0.97751617,0.00033635
1.00135803,0.00038742
1.02519989,0.00022183
1.04904175,0.00007344
1.07288361,0.00015124
1.09672546,0.00013499
1.12056732,0.00006859
1.14440918,0.00014741
1.16825104,0.00014940
1.19209290,0.00006036
1.21593475,0.00005466
1.23977661,0.00004554
1.26361847,0.00012545
1.28746033,0.00006605
1.31130219,0.00011575
1.33514404,0.00019426
1.35898590,0.00017894
1.38282776,0.00014406
1.40666962,0.00009160
1.43051147,0.00005453
1.45435333,0.00004977
1.47819519,0.00005594
1.50203705,0.00007569
1.52587891,0.00005219
1.54972076,0.00019637
1.57356262,0.00016868
1.59740448,0.00004807
1.62124634,0.00013976
1.64508820,0.00010460
1.66893005,0.00018832
1.69277191,0.00029022
1.71661377,0.00017293
1.74045563,0.00007465
1.76429749,0.00010208
1.78813934,0.00011168
1.81198120,0.00016551
1.83582306,0.00011889
1.85966492,0.00005165
1.88350677,0.00007073
1.90734863,0.00008364
1.93119049,0.00009574
1.95503235,0.00006505
1.97887421,0.00021386
2.00271606,0.00020091
2.02655792,0.00009080
2.05039978,0.00011767
2.07424164,0.00014625
2.09808350,0.00014307
2.12192535,0.00015756
2.14576721,0.00007878
2.16960907,0.00000321
2.19345093,0.00000951
2.21729279,0.00005237
2.24113464,0.00007512
2.26497650,0.00004885
2.28881836,0.00012172
2.31266022,0.00009847
2.33650208,0.00036105
2.36034393,0.00037471
2.38418579,0.00019291
2.40802765,0.00012399
2.43186951,0.00011958
2.45571136,0.00006641
2.47955322,0.00001817
2.50339508,0.00003252
2.52723694,0.00010682
2.55107880,0.00014041
2.57492065,0.00015057
2.59876251,0.00013861
2.62260437,0.00014782
2.64644623,0.00014966
2.67028809,0.00018026
2.69412994,0.00020795
2.71797180,0.00012590
2.74181366,0.00006515
2.76565552,0.00013014
2.78949738,0.00014307
2.81333923,0.00012782
2.83718109,0.00014030
2.86102295,0.00012419
2.88486481,0.00013369
2.90870667,0.00016045
2.93254852,0.00006675
2.95639038,0.00010427
2.98023224,0.00008930
3.00407410,0.00010723
3.02791595,0.00012343
3.05175781,0.00016715
3.07559967,0.00022504
3.09944153,0.00027205
3.12328339,0.00029057
3.14712524,0.00018078
