Частота,A * B
(kГц),(?)

0.00000000,0.00164185
0.02384186,0.00076602
0.04768372,0.00027601
0.07152557,0.00011365
0.09536743,0.00007520
0.11920929,0.00007844
0.14305115,0.00005964
0.16689301,0.00008150
0.19073486,0.00006998
0.21457672,0.00004808
0.23841858,0.00007531
0.26226044,0.00004083
0.28610229,0.00004633
0.30994415,0.00007367
0.33378601,0.00014057
0.35762787,0.00027394
0.38146973,0.00028769
0.40531158,0.00016255
0.42915344,0.00009197
0.45299530,0.00008258
0.47683716,0.00009702
0.50067902,0.00008829
0.52452087,0.00004655
0.54836273,0.00014788
0.57220459,0.00019003
0.59604645,0.00012167
0.61988831,0.00016578
0.64373016,0.00020747
0.66757202,0.00012407
0.69141388,0.00006708
0.71525574,0.00011059
0.73909760,0.00008614
0.76293945,0.00023514
0.78678131,0.00030823
0.81062317,0.00025367
0.83446503,0.00019786
0.85830688,0.00008142
0.88214874,0.00008578
0.90599060,0.00008249
0.92983246,0.00016474
0.95367432,0.00019325
0.97751617,0.00023634
1.00135803,0.00026304
1.02519989,0.00019315
1.04904175,0.00015572
1.07288361,0.00006748
1.09672546,0.00003522
1.12056732,0.00005735
1.14440918,0.00014563
1.16825104,0.00016145
1.19209290,0.00008823
1.21593475,0.00006268
1.23977661,0.00009705
1.26361847,0.00008449
1.28746033,0.00009015
1.31130219,0.00017012
1.33514404,0.00018308
1.35898590,0.00022174
1.38282776,0.00019675
1.40666962,0.00003130
1.43051147,0.00011631
1.45435333,0.00013745
1.47819519,0.00013801
1.50203705,0.00005600
1.52587891,0.00014536
1.54972076,0.00029619
1.57356262,0.00026839
1.59740448,0.00010999
1.62124634,0.00006678
1.64508820,0.00005602
1.66893005,0.00005281
1.69277191,0.00005962
1.71661377,0.00007927
1.74045563,0.00006516
1.76429749,0.00009082
1.78813934,0.00015751
1.81198120,0.00009605
1.83582306,0.00007091
1.85966492,0.00009375
1.88350677,0.00011292
1.90734863,0.00007117
1.93119049,0.00006828
1.95503235,0.00010778
1.97887421,0.00008645
2.00271606,0.00012158
2.02655792,0.00003189
2.05039978,0.00003242
2.07424164,0.00003746
2.09808350,0.00010219
2.12192535,0.00007639
2.14576721,0.00015891
2.16960907,0.00017703
2.19345093,0.00012793
2.21729279,0.00017189
2.24113464,0.00019547
2.26497650,0.00011923
2.28881836,0.00010671
2.31266022,0.00012816
2.33650208,0.00014168
2.36034393,0.00032563
2.38418579,0.00022289
2.40802765,0.00004206
2.43186951,0.00005044
2.45571136,0.00005179
2.47955322,0.00003702
2.50339508,0.00001208
2.52723694,0.00009484
2.55107880,0.00015846
2.57492065,0.00018054
2.59876251,0.00016863
2.62260437,0.00011986
2.64644623,0.00003558
2.67028809,0.00002915
2.69412994,0.00007369
2.71797180,0.00017192
2.74181366,0.00010347
2.76565552,0.00007720
2.78949738,0.00008259
2.81333923,0.00003075
2.83718109,0.00006750
2.86102295,0.00015527
2.88486481,0.00006825
2.90870667,0.00008903
2.93254852,0.00013124
2.95639038,0.00017725
2.98023224,0.00013156
3.00407410,0.00009324
3.02791595,0.00011353
3.05175781,0.00012053
3.07559967,0.00007198
3.09944153,0.00019667
3.12328339,0.00035010
3.14712524,0.00032001
