k,Uk,dUk,m,Um,dUm
0,4.72,0.04,0,4.72,0.04
1,0.48,0.04,1,2.88,0.04
2,1.84,0.04,2,1.8,0.04
3,2.88,0.04,3,1.12,0.04
4,3.56,0.04,4,0.72,0.04
5,3.96,0.04,5,0.44,0.04
6,4.24,0.04,6,0.32,0.04
7,4.4,0.04,7,0.176,0.04
8,4.48,0.04,,,
9,4.64,0.04,,,
