m,U
0,16
1,13.8
2,12.2
3,10.6
4,9.2
5,8.2
6,7.2
7,6.2
8,5.4
9,4.8
10,4.2
11,3.6
12,3.2
13,2.8
14,2.48
15,2.16
16,1.84
17,1.68
18,1.52
19,1.28
20,1.12
25,0.64
35,0.24
