"U, V","I, A"
3.000,0.1251
2.835,0.1191
2.678,0.1133
2.504,0.1067
2.322,0.0997
2.119,0.0917
1.895,0.0827
1.642,0.0722
1.341,0.0595
0.939,0.0420
