"U, V","I, A"
2.909,0.1160
2.762,0.1108
2.603,0.1050
2.432,0.0987
2.251,0.0920
2.049,0.0843
1.837,0.0760
1.592,0.0663
1.300,0.0546
0.919,0.0388
