"U, V","I, A"
2.935,0.1115
2.766,0.1057
2.622,0.1007
2.450,0.0947
2.269,0.0882
2.073,0.0811
1.855,0.0730
1.602,0.0634
1.314,0.0523
0.926,0.0371
