t (s),V (mV)
358.928,12.7503
359.928,12.7412
360.928,12.7313
361.928,12.7221
362.928,12.7117
363.928,12.7016
364.928,12.6918
365.928,12.6831
366.928,12.6733
367.928,12.6637
368.928,12.654
369.928,12.6459
370.928,12.6352
371.928,12.6253
372.928,12.6088
373.928,12.5964
374.928,12.586
375.928,12.5753
376.928,12.5663
377.929,12.5569
378.928,12.5459
379.928,12.5362
380.928,12.5258
381.928,12.5164
382.928,12.5061
383.929,12.4967
384.928,12.4859
385.928,12.4759
386.928,12.4649
387.928,12.4553
388.928,12.4455
389.928,12.435
390.928,12.4251
391.928,12.4155
392.928,12.4045
393.928,12.3941
394.928,12.3847
395.928,12.375
396.928,12.3642
397.928,12.3547
398.928,12.3442
399.928,12.3355
400.928,12.3257
401.928,12.3154
402.928,12.3063
403.928,12.2968
404.928,12.287
405.928,12.2772
