Время,A * B
(mс),(?)

-0.93463218,0.31983040
-0.93431218,0.32832020
-0.93399218,0.34111440
-0.93367218,0.34111440
-0.93335218,0.34751150
-0.93303218,0.35390860
-0.93271218,0.35390860
-0.93239218,0.34751150
-0.93207218,0.35390860
-0.93175218,0.34751150
-0.93143218,0.34751150
-0.93111218,0.34751150
-0.93079218,0.34993510
-0.93047218,0.33471730
-0.93015218,0.32832020
-0.92983218,0.33024750
-0.92951218,0.31552600
-0.92919218,0.31712250
-0.92887218,0.31055990
-0.92855218,0.29743490
-0.92823218,0.29147630
-0.92791218,0.27774730
-0.92759218,0.27129240
-0.92727218,0.25783660
-0.92695218,0.24438070
-0.92663218,0.23092480
-0.92631218,0.21744630
-0.92599218,0.20399030
-0.92567218,0.18380650
-0.92535218,0.17035060
-0.92503218,0.15689470
-0.92471218,0.13671090
-0.92439218,0.11652710
-0.92407218,0.10560540
-0.92375218,0.08288736
-0.92343218,0.06270353
-0.92311218,0.04251970
-0.92279218,0.02977840
-0.92247218,0.00887998
-0.92215218,-0.01130385
-0.92183218,-0.03226187
-0.92151218,-0.04604859
-0.92119218,-0.06672867
-0.92087218,-0.08740877
-0.92055218,-0.10808890
-0.92023218,-0.12187560
-0.91991218,-0.13566230
-0.91959218,-0.15634240
-0.91927218,-0.17012910
-0.91895218,-0.19080920
-0.91863218,-0.20459590
-0.91831218,-0.21840590
-0.91799218,-0.23908590
-0.91767218,-0.25287270
-0.91735218,-0.26665940
-0.91703218,-0.28717600
-0.91671218,-0.29423280
-0.91639218,-0.30835230
-0.91607218,-0.31541110
-0.91575218,-0.32952860
-0.91543218,-0.34364620
-0.91511218,-0.34364620
-0.91479218,-0.35070500
-0.91447218,-0.36482250
-0.91415218,-0.36482250
-0.91383218,-0.37188130
-0.91351218,-0.37188130
-0.91319218,-0.37894010
-0.91287218,-0.38599890
-0.91255218,-0.39507480
-0.91223218,-0.38785000
-0.91191218,-0.39507480
-0.91159218,-0.38785000
-0.91127218,-0.38785000
-0.91095218,-0.38062530
-0.91063218,-0.38062530
-0.91031218,-0.37340050
-0.90999218,-0.36617580
-0.90967218,-0.35895100
-0.90935218,-0.35172630
-0.90903218,-0.35238920
-0.90871218,-0.33005200
-0.90839218,-0.33021870
-0.90807218,-0.31543840
-0.90775218,-0.30065800
-0.90743218,-0.29326790
-0.90711218,-0.27848750
-0.90679218,-0.25631700
-0.90647218,-0.24892690
-0.90615218,-0.22675630
-0.90583218,-0.21195110
-0.90551218,-0.19717080
-0.90519218,-0.17891740
-0.90487218,-0.15282970
-0.90455218,-0.14113940
-0.90423218,-0.11847270
-0.90391218,-0.10336150
-0.90359218,-0.08069473
-0.90327218,-0.05802795
-0.90295218,-0.04291677
-0.90263218,-0.02025000
-0.90231218,0.00241677
-0.90199218,0.02508354
-0.90167218,0.04019472
-0.90135218,0.06286149
-0.90103218,0.08552826
-0.90071218,0.10063940
-0.90039218,0.12330620
-0.90007218,0.14597300
-0.89975218,0.16108420
-0.89943218,0.18375090
-0.89911218,0.20321590
-0.89879218,0.21865790
-0.89847218,0.24182100
-0.89815218,0.25728900
-0.89783218,0.27273100
-0.89751218,0.28817300
-0.89719218,0.30361500
-0.89687218,0.32677810
-0.89655218,0.33449910
-0.89623218,0.34955190
-0.89591218,0.35766210
-0.89559218,0.37321120
-0.89527218,0.38082510
-0.89495218,0.39687050
-0.89463218,0.40475690
-0.89431218,0.41264340
-0.89399218,0.41170910
-0.89367218,0.42052980
-0.89335218,0.42841620
-0.89303218,0.42841620
-0.89271218,0.43740230
-0.89239218,0.44545420
-0.89207218,0.44545420
-0.89175218,0.43740230
-0.89143218,0.43740230
-0.89111218,0.42935050
-0.89079218,0.42935050
-0.89047218,0.42129860
-0.89015218,0.41324680
-0.88983218,0.40519490
-0.88951218,0.39714310
-0.88919218,0.38909120
-0.88887218,0.38103940
-0.88855218,0.36493570
-0.88823218,0.34883200
-0.88791218,0.34778120
-0.88759218,0.32467650
-0.88727218,0.31491210
-0.88695218,0.29847760
-0.88663218,0.28204310
-0.88631218,0.26558090
-0.88599218,0.24914630
-0.88567218,0.22449450
-0.88535218,0.20806000
-0.88503218,0.18340820
-0.88471218,0.16697370
-0.88439218,0.14232190
-0.88407218,0.12842160
-0.88375218,0.10123560
-0.88343218,0.07658380
-0.88311218,0.06014927
-0.88279218,0.03621206
-0.88247218,0.01106401
-0.88215218,-0.00570135
-0.88183218,-0.03084940
