Время,A * B
(mс),(?)

-1.00001448,-0.05384829
-0.99969448,-0.06658829
-0.99937448,-0.08241832
-0.99905448,-0.09124249
-0.99873448,-0.10447870
-0.99841448,-0.11330290
-0.99809448,-0.12179490
-0.99777448,-0.13537820
-0.99745448,-0.14420240
-0.99713448,-0.15743860
-0.99681448,-0.16185070
-0.99649448,-0.17508690
-0.99617448,-0.18391110
-0.99585448,-0.18832320
-0.99553448,-0.19714740
-0.99521448,-0.20155940
-0.99489448,-0.21038360
-0.99457448,-0.21479570
-0.99425448,-0.21920780
-0.99393448,-0.22361980
-0.99361448,-0.22803190
-0.99329448,-0.24115890
-0.99297448,-0.23244400
-0.99265448,-0.23244400
-0.99233448,-0.23685610
-0.99201448,-0.24126820
-0.99169448,-0.24573640
-0.99137448,-0.25031390
-0.99105448,-0.24573640
-0.99073448,-0.24573640
-0.99041448,-0.24115890
-0.99009448,-0.24115890
-0.98977448,-0.24115890
-0.98945448,-0.23658140
-0.98913448,-0.23200390
-0.98881448,-0.22742640
-0.98849448,-0.21827140
-0.98817448,-0.21369390
-0.98785448,-0.21667330
-0.98753448,-0.19996130
-0.98721448,-0.20244450
-0.98689448,-0.19295870
-0.98657448,-0.18347280
-0.98625448,-0.17398700
-0.98593448,-0.15975820
-0.98561448,-0.15501530
-0.98529448,-0.14552940
-0.98497448,-0.13128470
-0.98465448,-0.12179890
-0.98433448,-0.10757010
-0.98401448,-0.09334133
-0.98369448,-0.08385549
-0.98337448,-0.07436964
-0.98305448,-0.05539796
-0.98273448,-0.04591211
-0.98241448,-0.03168335
-0.98209448,-0.01745459
-0.98177448,-0.00796875
-0.98145448,0.00647835
-0.98113448,0.02048878
-0.98081448,0.02997462
-0.98049448,0.05065340
-0.98017448,0.06047008
-0.97985448,0.07028677
-0.97953448,0.08501179
-0.97921448,0.09973679
-0.97889448,0.10955350
-0.97857448,0.12427850
-0.97825448,0.13409520
-0.97793448,0.14882020
-0.97761448,0.15863690
-0.97729448,0.16847010
-0.97697448,0.17828680
-0.97665448,0.18810340
-0.97633448,0.19792010
-0.97601448,0.20773680
-0.97569448,0.21264510
-0.97537448,0.22995910
-0.97505448,0.22737020
-0.97473448,0.24518040
-0.97441448,0.25025420
-0.97409448,0.25532790
-0.97377448,0.26040170
-0.97345448,0.26547550
-0.97313448,0.27054920
-0.97281448,0.27054920
-0.97249448,0.27562300
-0.97217448,0.27562300
-0.97185448,0.27562300
-0.97153448,0.28069670
-0.97121448,0.27562300
-0.97089448,0.27562300
-0.97057448,0.27054920
-0.97025448,0.27054920
-0.96993448,0.27054920
-0.96961448,0.27413070
-0.96929448,0.26040170
-0.96897448,0.25532790
-0.96865448,0.25841310
-0.96833448,0.24793480
-0.96801448,0.24269560
-0.96769448,0.23954910
-0.96737448,0.22697810
-0.96705448,0.22333540
-0.96673448,0.20602140
-0.96641448,0.19554300
-0.96609448,0.18506470
-0.96577448,0.17458630
-0.96545448,0.16409030
-0.96513448,0.15846200
-0.96481448,0.14313360
-0.96449448,0.12603440
-0.96417448,0.11522520
-0.96385448,0.10441610
-0.96353448,0.08820227
-0.96321448,0.07739308
-0.96289448,0.06117929
-0.96257448,0.05037010
-0.96225448,0.02875172
-0.96193448,0.01794253
-0.96161448,0.00172874
-0.96129448,-0.01448504
-0.96097448,-0.02529423
-0.96065448,-0.04150802
-0.96033448,-0.05772181
-0.96001448,-0.07062853
-0.95969448,-0.08474478
-0.95937448,-0.10095860
-0.95905448,-0.11518860
-0.95873448,-0.13189870
-0.95841448,-0.14860870
-0.95809448,-0.14959990
-0.95777448,-0.17090750
-0.95745448,-0.18204760
-0.95713448,-0.19875760
-0.95681448,-0.20989770
-0.95649448,-0.22103770
-0.95617448,-0.22660770
-0.95585448,-0.23774770
-0.95553448,-0.24888770
-0.95521448,-0.25445770
-0.95489448,-0.26559780
-0.95457448,-0.27116780
-0.95425448,-0.28495640
-0.95393448,-0.29069180
-0.95361448,-0.29642720
-0.95329448,-0.29344790
-0.95297448,-0.30216270
