Время,A * B
(mс),(?)

-1.00021460,-0.08357495
-0.99989460,-0.09565457
-0.99957460,-0.10480830
-0.99925460,-0.12212710
-0.99893460,-0.13095120
-0.99861460,-0.13979030
-0.99829460,-0.14861440
-0.99797460,-0.15743860
-0.99765460,-0.17067490
-0.99733460,-0.17508690
-0.99701460,-0.18391110
-0.99669460,-0.19273530
-0.99637460,-0.19714740
-0.99605460,-0.20597150
-0.99573460,-0.21038360
-0.99541460,-0.21479570
-0.99509460,-0.22361980
-0.99477460,-0.22361980
-0.99445460,-0.23244400
-0.99413460,-0.24115890
-0.99381460,-0.23244400
-0.99349460,-0.23685610
-0.99317460,-0.23685610
-0.99285460,-0.24126820
-0.99253460,-0.24126820
-0.99221460,-0.25031390
-0.99189460,-0.24573640
-0.99157460,-0.24573640
-0.99125460,-0.24573640
-0.99093460,-0.24115890
-0.99061460,-0.23658140
-0.99029460,-0.23658140
-0.98997460,-0.23564490
-0.98965460,-0.22284890
-0.98933460,-0.22615910
-0.98901460,-0.22141620
-0.98869460,-0.21193030
-0.98837460,-0.20718740
-0.98805460,-0.19770160
-0.98773460,-0.18821570
-0.98741460,-0.17872990
-0.98709460,-0.16924400
-0.98677460,-0.15975820
-0.98645460,-0.15027240
-0.98613460,-0.13602760
-0.98581460,-0.12654180
-0.98549460,-0.11705590
-0.98517460,-0.09808425
-0.98485460,-0.09334133
-0.98453460,-0.07911257
-0.98421460,-0.06488380
-0.98389460,-0.05539796
-0.98357460,-0.04116919
-0.98325460,-0.02788003
-0.98293460,-0.01745459
-0.98261460,-0.00333833
-0.98229460,0.01100294
-0.98197460,0.02611171
-0.98165460,0.04083673
-0.98133460,0.05065340
-0.98101460,0.06537843
-0.98069460,0.07519510
-0.98037460,0.08992012
-0.98005460,0.10464510
-0.97973460,0.11446180
-0.97941460,0.12427850
-0.97909460,0.13900350
-0.97877460,0.15372850
-0.97845460,0.16356170
-0.97813460,0.17337840
-0.97781460,0.18319510
-0.97749460,0.19301180
-0.97717460,0.20966410
-0.97685460,0.21264510
-0.97653460,0.21755350
-0.97621460,0.22246180
-0.97589460,0.24010670
-0.97557460,0.23718680
-0.97525460,0.25025420
-0.97493460,0.26040170
-0.97461460,0.26040170
-0.97429460,0.26547550
-0.97397460,0.27054920
-0.97365460,0.27562300
-0.97333460,0.27562300
-0.97301460,0.27562300
-0.97269460,0.27562300
-0.97237460,0.27562300
-0.97205460,0.27562300
-0.97173460,0.27562300
-0.97141460,0.27562300
-0.97109460,0.27054920
-0.97077460,0.26547550
-0.97045460,0.26040170
-0.97013460,0.25532790
-0.96981460,0.25841310
-0.96949460,0.24518040
-0.96917460,0.24793480
-0.96885460,0.23745640
-0.96853460,0.23221730
-0.96821460,0.22173890
-0.96789460,0.21649970
-0.96757460,0.20078220
-0.96725460,0.19631240
-0.96693460,0.18550320
-0.96661460,0.16932950
-0.96629460,0.16386660
-0.96597460,0.14313360
-0.96565460,0.13684360
-0.96533460,0.12603440
-0.96501460,0.10982060
-0.96469460,0.09901146
-0.96437460,0.08279767
-0.96405460,0.07198849
-0.96373460,0.05577470
-0.96341460,0.03956091
-0.96309460,0.02334712
-0.96277460,0.01253793
-0.96245460,-0.00367585
-0.96213460,-0.01988964
-0.96181460,-0.03610342
-0.96149460,-0.05231721
-0.96117460,-0.06312640
-0.96085460,-0.07934019
-0.96053460,-0.09014938
-0.96021460,-0.10636320
-0.95989460,-0.11717240
-0.95957460,-0.13746870
-0.95925460,-0.14860870
-0.95893460,-0.16531880
-0.95861460,-0.17647760
-0.95829460,-0.18761760
-0.95797460,-0.20432760
-0.95765460,-0.21546770
-0.95733460,-0.22103770
-0.95701460,-0.23217770
-0.95669460,-0.24331770
-0.95637460,-0.24888770
-0.95605460,-0.26002780
-0.95573460,-0.26559780
-0.95541460,-0.27673780
-0.95509460,-0.28230780
-0.95477460,-0.29642720
-0.95445460,-0.28787790
-0.95413460,-0.30216270
-0.95381460,-0.30216270
-0.95349460,-0.30789810
-0.95317460,-0.30789810
