t,P
0,6.4
1,6
2,5.6
3,4.9
4,4.3
5,3.7
6,3.2
7,2.7
8,2.2
9,1.9
10,1.7
11,1.5
12,1.4
13,1.3
14,1.2
15,1.2
16,1.1
17,1.1
18,1.1
