t,P
0,1.1
1,1.2
2,1.3
3,1.5
4,1.7
5,2
6,2.2
7,2.4
8,2.6
9,2.8
10,3
11,3.2
12,3.3
13,3.5
14,3.6
15,3.8
16,4
17,4.2
18,4.4
19,4.6
20,4.8
21,4.9
22,5
23,5.1
24,5.2
25,5.4
26,5.5
27,5.7
28,5.8
29,6
30,6.1
