t,P
0,3.9
1,4.3
2,4.7
3,4.8
4,4.9
5,5
6,5.1
7,5.2
8,5.2
9,5.3
10,5.3
11,5.5
12,5.6
13,5.6
14,5.7
15,5.8
16,5.9
17,5.9
18,6
19,6.1
20,6.1
21,6.2
22,6.2
23,6.3
24,6.4
