Частота,A * B
(kГц),(?)

0.00000000,0.07674031
0.02384186,0.03440020
0.04768372,0.08363807
0.07152557,0.19717050
0.09536743,0.34302450
0.11920929,0.47601680
0.14305115,0.29310820
0.16689301,0.03477810
0.19073486,0.05181242
0.21457672,0.02798319
0.23841858,0.03592796
0.26226044,0.03090346
0.28610229,0.09544608
0.30994415,0.40377580
0.33378601,1.08043600
0.35762787,0.95159490
0.38146973,0.35095090
0.40531158,0.42229800
0.42915344,0.24632880
0.45299530,0.02672913
0.47683716,0.02028430
0.50067902,0.03540664
0.52452087,0.03266564
0.54836273,0.10080720
0.57220459,0.10091380
0.59604645,0.56636850
0.61988831,1.35039500
0.64373016,1.08367200
0.66757202,0.43554080
0.69141388,0.48125150
0.71525574,0.25166460
0.73909760,0.02035207
0.76293945,0.02228127
0.78678131,0.02703677
0.81062317,0.06701209
0.83446503,0.19506110
0.85830688,0.27130870
0.88214874,0.20678600
0.90599060,0.13096140
0.92983246,0.08998400
0.95367432,0.02972416
0.97751617,0.06979201
1.00135803,0.10091680
1.02519989,0.08091139
1.04904175,0.07030992
1.07288361,0.06519529
1.09672546,0.07330771
1.12056732,0.29745460
1.14440918,0.37332390
1.16825104,0.26181110
1.19209290,0.07605429
1.21593475,0.03363783
1.23977661,0.04402218
1.26361847,0.01512234
1.28746033,0.25174580
1.31130219,0.39379740
1.33514404,0.39565210
1.35898590,1.06169500
1.38282776,1.18739900
1.40666962,0.40789770
1.43051147,0.07506187
1.45435333,0.07419606
1.47819519,0.00728661
1.50203705,0.03745289
1.52587891,0.03351532
1.54972076,0.03831181
1.57356262,0.13828200
1.59740448,0.19714520
1.62124634,0.73844060
1.64508820,2.38159000
1.66893005,2.35493600
1.69277191,0.77624640
1.71661377,0.05896147
1.74045563,0.04336550
1.76429749,0.02933852
1.78813934,0.04962420
1.81198120,0.06400062
1.83582306,0.08262278
1.85966492,0.37170340
1.88350677,0.52722610
1.90734863,0.38185150
1.93119049,0.21851810
1.95503235,0.30359790
1.97887421,1.72104900
2.00271606,2.59952100
2.02655792,1.36600000
2.05039978,0.17982160
2.07424164,0.13574630
2.09808350,0.26145910
2.12192535,0.36072850
2.14576721,0.18231880
2.16960907,0.06772854
2.19345093,0.01528120
2.21729279,0.00644878
2.24113464,0.04840542
2.26497650,0.04665858
2.28881836,0.08559407
2.31266022,0.01632040
2.33650208,0.01256627
2.36034393,0.19720850
2.38418579,0.49984660
2.40802765,0.60584340
2.43186951,0.29633830
2.45571136,0.01609504
2.47955322,0.03962411
2.50339508,0.05352433
2.52723694,0.02789335
2.55107880,0.07055298
2.57492065,0.07733329
2.59876251,0.65067640
2.62260437,1.31155900
2.64644623,0.95369730
2.67028809,0.35445950
2.69412994,0.35208460
2.71797180,0.15112290
2.74181366,0.04667301
2.76565552,0.02633406
2.78949738,0.04181796
2.81333923,0.05712356
2.83718109,0.11571070
2.86102295,0.16379490
2.88486481,0.17068910
2.90870667,0.28970110
2.93254852,0.18170300
2.95639038,0.05707831
2.98023224,0.01007591
3.00407410,0.05251713
3.02791595,0.04980776
3.05175781,0.06435033
3.07559967,0.07909907
3.09944153,0.15391140
3.12328339,0.36052800
3.14712524,0.43852650
