"t, сек","P, мм.рт.ст * 10^-4"
0,1.3
1,1.4
2,1.5
3,1.7
4,1.9
5,2
6,2.1
7,2.3
8,2.4
9,2.5
10,2.7
11,2.8
12,2.9
13,3
14,3.2
15,3.3
16,3.4
17,3.5
18,3.6
19,3.7
20,3.8
21,3.9
22,4
23,4.1
24,4.2
25,4.3
26,4.4
27,4.5
28,4.6
29,4.7
30,4.8
31,4.9
32,4.9
33,5
34,5.1
35,5.2
36,5.3
37,5.4
38,5.5
39,5.6
40,5.7
41,5.8
42,5.8
43,5.9
44,6
