Число импульсов $n$,Число случаев,Доля случаев $\omega_n$
4,4,0.0100
5,1,0.0025
6,9,0.0225
7,20,0.0500
8,19,0.0475
9,25,0.0625
10,39,0.0975
11,33,0.0825
12,41,0.1025
13,43,0.1075
14,47,0.1175
15,36,0.0900
16,23,0.0575
17,11,0.0275
18,27,0.0675
19,6,0.0150
20,6,0.0150
21,3,0.0075
22,2,0.0050
23,4,0.0100
27,1,0.0025
,,
mean(n),14.1428571428571,
stdev(n),6.47522751944451,
