t;U
0;6.083
0.99;6.0432
1.989;6.0076
2.99;5.9802
3.989;5.9497
4.989;5.9193
5.989;5.8897
6.989;5.8608
7.989;5.8314
8.989;5.7998
9.989;5.7704
10.989;5.7403
11.989;5.7101
12.989;5.6807
13.989;5.6504
14.989;5.6194
15.989;5.5896
16.989;5.559
17.989;5.5279
18.989;5.4985
19.989;5.4685
20.989;5.4408
21.989;5.4109
22.989;5.3826
23.989;5.3538
24.989;5.3268
25.989;5.2984
26.989;5.2713
27.989;5.2428
28.989;5.2181
29.989;5.1914
30.989;5.1657
31.989;5.1425
32.989;5.1149
33.989;5.0898
34.989;5.063
35.989;5.0368
36.989;5.0116
37.989;4.9855
38.989;4.9596
39.989;4.9342
40.989;4.9075
41.989;4.8829
42.99;4.8561
43.989;4.8302
44.99;4.8023
45.989;4.7774
46.99;4.7505
47.989;4.7264
48.99;4.6998
49.989;4.6763
50.99;4.6484
51.989;4.6246
52.989;4.5988
53.99;4.5749
54.989;4.5514
55.989;4.5267
56.989;4.5021
57.99;4.4787
58.989;4.4545
59.99;4.4299
60.989;4.4069
61.989;4.3829
62.99;4.3594
63.989;4.3356
64.989;4.3128
65.99;4.2891
66.989;4.2669
67.989;4.2448
68.989;4.2225
69.989;4.2002
70.989;4.1773
71.989;4.1559
72.989;4.1344
73.989;4.1132
74.989;4.0913
75.989;4.0698
76.989;4.0485
77.989;4.0277
78.989;4.007
79.989;3.9861
80.989;3.9649
81.989;3.9435
82.989;3.9228
83.989;3.9019
84.989;3.8815
85.989;3.8614
86.989;3.8404
87.989;3.8198
88.989;3.7982
89.989;3.7795
90.989;3.7595
91.989;3.7383
92.989;3.7188
93.989;3.6998
94.989;3.6797
95.989;3.6585
96.989;3.6398
97.989;3.6213
98.989;3.6018
99.989;3.5818
100.989;3.5618
101.989;3.5411
102.989;3.5209
103.989;3.5011
104.989;3.4812
105.989;3.4607
106.989;3.4419
107.989;3.4201
108.989;3.4029
109.989;3.3842
110.989;3.3659
111.989;3.3462
112.989;3.3269
113.989;3.3077
114.99;3.2907
115.989;3.2719
116.989;3.255
117.99;3.2362
118.99;3.2173
119.989;3.2
120.989;3.1833
121.989;3.1645
122.99;3.1485
123.989;3.1307
124.989;3.1126
125.989;3.0969
126.989;3.0832
127.99;3.0649
128.989;3.0452
129.99;3.0275
130.989;3.0111
131.989;2.9954
132.99;2.9778
133.989;2.9618
134.99;2.9449
135.989;2.9298
136.989;2.9127
137.989;2.8963
138.989;2.8805
139.99;2.8643
140.989;2.8494
141.989;2.8322
142.989;2.8165
143.989;2.8012
144.989;2.7847
145.989;2.7697
146.989;2.7541
147.989;2.7395
148.99;2.7243
149.989;2.7088
150.989;2.6946
151.989;2.6795
152.989;2.6649
153.989;2.6498
154.99;2.6338
155.99;2.6205
156.99;2.6045
157.99;2.5899
158.99;2.5763
159.99;2.5616
160.99;2.5474
161.99;2.5322
162.99;2.5179
163.99;2.5045
164.99;2.4904
165.99;2.4764
166.99;2.462
167.99;2.4501
168.99;2.4354
169.99;2.4223
170.99;2.4084
171.99;2.3963
172.99;2.3821
173.99;2.3691
174.99;2.3556
175.99;2.3427
176.99;2.3303
177.99;2.318
178.99;2.3047
179.99;2.2913
180.99;2.2786
181.99;2.2671
182.99;2.2532
183.99;2.2409
184.99;2.2275
185.99;2.2154
186.99;2.2026
187.99;2.1895
188.99;2.1776
189.99;2.1647
190.99;2.153
191.99;2.1406
192.99;2.1286
193.99;2.1155
194.99;2.1044
195.99;2.0922
196.99;2.0798
197.99;2.0675
198.99;2.0568
199.99;2.0451
200.99;2.0317
201.99;2.0202
202.99;2.0073
203.99;1.9964
204.99;1.9859
205.99;1.973
206.99;1.9603
207.99;1.9496
208.99;1.9396
209.99;1.9268
210.99;1.9133
211.99;1.9033
212.99;1.8921
213.99;1.8806
214.99;1.8711
215.99;1.86
216.99;1.8492
217.99;1.8388
218.99;1.8279
219.99;1.8161
220.99;1.8054
221.99;1.7946
222.99;1.784
223.99;1.7743
224.99;1.7637
225.99;1.752
226.99;1.7411
227.99;1.73
228.99;1.7178
229.99;1.7067
230.99;1.6968
231.99;1.6866
232.99;1.6742
233.99;1.664
234.99;1.6525
235.99;1.6433
236.99;1.6316
237.99;1.6215
238.99;1.6107
239.99;1.6003
240.99;1.5895
241.99;1.5802
242.99;1.57
243.99;1.5595
244.99;1.5496
245.99;1.541
246.99;1.5308
247.99;1.5209
248.99;1.5119
249.99;1.5018
250.99;1.4929
251.99;1.4843
252.99;1.4738
