t;U
0;10.2655
0.972;10.2552
1.973;10.2484
2.972;10.2397
3.972;10.2316
4.973;10.226
5.973;10.2169
6.972;10.2083
7.973;10.2014
8.972;10.1916
9.972;10.1834
10.973;10.1763
11.973;10.1671
12.972;10.1579
13.973;10.1488
14.972;10.1402
15.973;10.1322
16.972;10.1218
17.973;10.1152
18.973;10.1058
19.972;10.0962
20.973;10.0891
21.972;10.0808
22.973;10.0727
23.973;10.0629
24.972;10.0565
25.972;10.0476
26.973;10.041
27.972;10.0328
28.973;10.0255
29.972;10.0168
30.973;10.0105
31.973;10.0019
32.974;9.9927
33.973;9.9842
34.974;9.9785
35.973;9.9689
36.974;9.9632
37.973;9.9527
38.974;9.9452
39.973;9.9368
40.974;9.929
41.973;9.9209
42.974;9.9125
43.974;9.9051
44.973;9.8963
45.974;9.8892
46.973;9.8816
47.974;9.8747
48.974;9.8647
49.973;9.856
50.974;9.8512
51.973;9.8441
52.974;9.8349
53.974;9.8269
54.973;9.8196
55.974;9.8117
56.974;9.8037
57.973;9.7955
58.974;9.7876
59.973;9.7796
60.974;9.7712
61.973;9.7615
62.974;9.7559
63.973;9.7504
64.974;9.7422
65.973;9.7333
66.974;9.7252
67.973;9.7159
68.973;9.7092
69.974;9.701
70.973;9.6938
71.973;9.6869
72.973;9.6782
73.974;9.6703
74.973;9.6631
75.974;9.6552
76.973;9.6472
77.974;9.6388
78.973;9.6329
79.974;9.6242
80.973;9.6177
81.974;9.6079
82.973;9.6013
83.974;9.5915
84.973;9.5865
85.974;9.5776
86.973;9.5709
87.974;9.5614
88.973;9.555
89.974;9.5453
90.973;9.539
91.974;9.5289
92.973;9.5227
93.974;9.5125
94.973;9.5066
95.974;9.4979
96.973;9.4899
97.974;9.4816
98.973;9.4748
99.974;9.4665
100.973;9.4595
101.974;9.4511
102.973;9.4452
103.974;9.4362
104.973;9.4277
105.974;9.4214
106.973;9.4142
107.973;9.4057
108.974;9.3985
109.973;9.3912
110.974;9.3838
111.973;9.3764
112.974;9.37
113.973;9.363
114.974;9.3561
115.973;9.3481
116.974;9.3407
117.973;9.3331
118.974;9.327
119.973;9.3201
120.974;9.3125
121.973;9.3059
122.974;9.2976
123.973;9.29
124.974;9.2827
125.973;9.2752
126.974;9.2679
127.973;9.2614
128.974;9.2542
129.973;9.2464
130.974;9.2384
131.973;9.2317
132.974;9.2243
133.973;9.2187
134.974;9.2113
135.973;9.2045
136.974;9.1975
137.973;9.1898
138.974;9.1837
139.973;9.1769
140.974;9.169
141.973;9.1627
142.974;9.1563
143.973;9.1489
144.974;9.1418
145.973;9.1334
146.974;9.1278
147.973;9.1198
148.974;9.1143
149.973;9.1065
150.974;9.1008
151.973;9.0945
152.974;9.0881
153.973;9.0807
154.974;9.0756
155.973;9.0668
156.974;9.061
157.973;9.0536
158.973;9.0478
159.974;9.0422
160.973;9.0341
161.973;9.0274
162.974;9.0226
163.973;9.0153
164.973;9.0084
165.974;9.0026
166.973;8.995
167.974;8.9889
168.973;8.9817
169.974;8.9763
170.973;8.9695
171.974;8.9634
172.973;8.9568
173.974;8.9503
174.973;8.9428
175.974;8.9372
176.973;8.9301
177.974;8.9234
178.973;8.916
179.974;8.9095
180.973;8.9036
181.974;8.8964
182.973;8.889
183.974;8.8827
184.973;8.8766
185.974;8.8694
186.973;8.8627
187.974;8.8555
188.973;8.8493
189.974;8.8418
190.973;8.8353
191.974;8.8273
192.973;8.8211
193.974;8.8123
194.973;8.8065
195.974;8.7974
196.973;8.7914
197.974;8.7817
198.973;8.775
199.974;8.7671
200.973;8.7615
201.974;8.7535
202.973;8.748
203.974;8.7402
204.973;8.7346
205.974;8.7279
206.973;8.7215
207.974;8.7129
208.973;8.7069
209.974;8.6993
210.973;8.6919
211.974;8.6845
212.973;8.6778
213.974;8.67
214.973;8.6641
215.974;8.6572
216.973;8.6508
217.973;8.6439
218.974;8.6366
219.973;8.6311
220.974;8.624
221.973;8.617
222.974;8.6101
223.973;8.6049
224.974;8.599
225.973;8.5918
226.974;8.5837
227.973;8.5779
228.974;8.572
229.973;8.5642
230.974;8.5586
231.973;8.5531
232.974;8.5461
233.973;8.5383
234.974;8.5346
235.973;8.5274
236.974;8.5206
237.973;8.5151
238.973;8.5079
239.974;8.5012
240.973;8.495
241.973;8.4887
242.974;8.482
243.973;8.475
244.974;8.4694
245.973;8.4616
246.974;8.456
247.973;8.4503
248.974;8.4433
249.973;8.4365
250.974;8.4297
251.973;8.4228
252.974;8.4161
253.973;8.4112
254.973;8.4045
255.974;8.3992
256.973;8.3915
257.974;8.3862
258.973;8.3798
259.974;8.3735
260.973;8.3677
261.974;8.3598
262.973;8.3535
263.974;8.3465
264.973;8.3413
265.974;8.3357
266.973;8.3287
267.974;8.3226
268.973;8.3164
269.973;8.3097
270.973;8.3032
271.974;8.2982
272.973;8.2902
273.973;8.2848
274.974;8.2792
275.973;8.2727
276.974;8.267
277.973;8.2603
278.974;8.2552
279.973;8.2477
280.974;8.2422
281.973;8.2337
282.973;8.2283
283.974;8.2241
284.973;8.2159
285.974;8.2103
286.973;8.2033
287.973;8.197
288.973;8.1913
289.974;8.1864
290.973;8.1793
291.973;8.1728
292.974;8.1671
293.973;8.161
294.974;8.155
295.973;8.149
296.974;8.143
297.973;8.1363
298.974;8.1321
299.973;8.1242
300.973;8.1175
301.974;8.1114
302.973;8.1054
303.973;8.0988
304.974;8.0933
305.973;8.0869
306.974;8.0815
307.973;8.0744
