Частота,A * B
(kГц),(?)

0.00000000,0.00159241
0.02384186,0.00061748
0.04768372,0.00007126
0.07152557,0.00009515
0.09536743,0.00009921
0.11920929,0.00013973
0.14305115,0.00007742
0.16689301,0.00009261
0.19073486,0.00006120
0.21457672,0.00008364
0.23841858,0.00010762
0.26226044,0.00010303
0.28610229,0.00016342
0.30994415,0.00014164
0.33378601,0.00010312
0.35762787,0.00009543
0.38146973,0.00011561
0.40531158,0.00012945
0.42915344,0.00010163
0.45299530,0.00008261
0.47683716,0.00015965
0.50067902,0.00011259
0.52452087,0.00001093
0.54836273,0.00009586
0.57220459,0.00014120
0.59604645,0.00009440
0.61988831,0.00003725
0.64373016,0.00004658
0.66757202,0.00003229
0.69141388,0.00003440
0.71525574,0.00002475
0.73909760,0.00006361
0.76293945,0.00002339
0.78678131,0.00008528
0.81062317,0.00007782
0.83446503,0.00010366
0.85830688,0.00012292
0.88214874,0.00018345
0.90599060,0.00013441
0.92983246,0.00007042
0.95367432,0.00015247
0.97751617,0.00016504
1.00135803,0.00014012
1.02519989,0.00006372
1.04904175,0.00008182
1.07288361,0.00012623
1.09672546,0.00012138
1.12056732,0.00011235
1.14440918,0.00011556
1.16825104,0.00013237
1.19209290,0.00011981
1.21593475,0.00004788
1.23977661,0.00005784
1.26361847,0.00006462
1.28746033,0.00017632
1.31130219,0.00022613
1.33514404,0.00021133
1.35898590,0.00012646
1.38282776,0.00010332
1.40666962,0.00011867
1.43051147,0.00008959
1.45435333,0.00006581
1.47819519,0.00006799
1.50203705,0.00006306
1.52587891,0.00004109
1.54972076,0.00008888
1.57356262,0.00023289
1.59740448,0.00020165
1.62124634,0.00006199
1.64508820,0.00010200
1.66893005,0.00006935
1.69277191,0.00008842
1.71661377,0.00009699
1.74045563,0.00003178
1.76429749,0.00009329
1.78813934,0.00010470
1.81198120,0.00006972
1.83582306,0.00006003
1.85966492,0.00012719
1.88350677,0.00012309
1.90734863,0.00007413
1.93119049,0.00008451
1.95503235,0.00004372
1.97887421,0.00011266
2.00271606,0.00015630
2.02655792,0.00012979
2.05039978,0.00016606
2.07424164,0.00016012
2.09808350,0.00004491
2.12192535,0.00012691
2.14576721,0.00010365
2.16960907,0.00004369
2.19345093,0.00013058
2.21729279,0.00015180
2.24113464,0.00012202
2.26497650,0.00010655
2.28881836,0.00011605
2.31266022,0.00019930
2.33650208,0.00043352
2.36034393,0.00026438
2.38418579,0.00000934
2.40802765,0.00007884
2.43186951,0.00014611
2.45571136,0.00014311
2.47955322,0.00009397
2.50339508,0.00007172
2.52723694,0.00006809
2.55107880,0.00007168
2.57492065,0.00008879
2.59876251,0.00014885
2.62260437,0.00014592
2.64644623,0.00011052
2.67028809,0.00007502
2.69412994,0.00005683
2.71797180,0.00004855
2.74181366,0.00013329
2.76565552,0.00011270
2.78949738,0.00009291
2.81333923,0.00009570
2.83718109,0.00004683
2.86102295,0.00004937
2.88486481,0.00007455
2.90870667,0.00011104
2.93254852,0.00012085
2.95639038,0.00003255
2.98023224,0.00008034
3.00407410,0.00011966
3.02791595,0.00017658
3.05175781,0.00020706
3.07559967,0.00009485
3.09944153,0.00006420
3.12328339,0.00009027
3.14712524,0.00014353
