01.01.2007   N1106
Образец: "W"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2154     202    1079    67,3
   2159     168    1082    33,6
   2164     235    1084    33,6
   2169     202    1087     101
   2174     202    1089     235
   2179     135    1092     370
   2184     303    1094     639
   2189     269    1097     975
   2194     269    1099    1076
   2199     168    1102     605
   2204     135    1104     101
   2209     135    1107    33,6
   2214     202    1109    67,3
   2219     168    1112    67,3
   2224     235    1114    33,6
   2229     202    1117    33,6
   2234     135    1119    33,6
   2239    67,3    1122    33,6
   2244     168    1124    33,6
   2249     101    1127    33,6
   2254     168    1129     101
   2259     101    1131     101
   2264     101    1134     0,0
   2269     202    1136    67,3
   2274     135    1139    67,3
   2279     135    1141    33,6
   2284     101    1144    33,6
   2289    67,3    1146    33,6
   2294     101    1149    67,3
   2299     202    1151    33,6
   2304     168    1154    33,6
   2309    67,3    1156     0,0
   2314     135    1159    33,6
   2319     101    1161     0,0
   2324     269    1164    33,6
   2329    67,3    1166    33,6
   2334     235    1169    33,6
   2339     135    1171    33,6
   2344    67,3    1174    67,3
   2349     101    1176     0,0
   2354     202    1179    67,3
   2359     101    1181    33,6
   2364     135    1184    67,3
   2369     101    1186    67,3
   2374     135    1189    33,6
   2379     168    1191    67,3
   2384     135    1194    33,6
   2389     168    1196     0,0
   2394     135    1199     0,0
   2397     110    1200    42,0
   2399     120    1201    49,0
   2401     104    1202    54,0
   2403    89,0    1203    70,0
   2405     103    1204    76,0
   2407     114    1205    72,0
   2409     100    1206    78,0
   2411     108    1207    69,0
   2413     100    1208    69,0
   2415    97,0    1209    70,0
   2417     105    1210    59,0
   2419    96,0    1211    73,0
   2421     102    1212    83,0
   2423    90,0    1213     100
   2425    96,0    1214     109
   2427    96,0    1215     101
   2429     116    1216    83,0
   2431     109    1217    87,0
   2433    91,0    1218    95,0
   2435     119    1219    98,0
   2437     109    1220    84,0
   2439     100    1221    80,0
   2441    96,0    1222     101
   2443     103    1223    90,0
   2445    91,0    1224    81,0
   2447     102    1225    93,0
   2449    89,0    1226    81,0
   2451    95,0    1227    84,0
   2453    95,0    1228    89,0
   2455     118    1229    95,0
   2457    94,0    1230    78,0
   2459     101    1231    84,0
   2461    97,0    1232    95,0
   2463    92,0    1233     109
   2465     116    1234     109
   2467    93,0    1235     165
   2469     106    1236     258
   2471    89,0    1237     288
   2473     118    1238     436
   2475     127    1239     536
   2477     173    1240     883
   2479     179    1241    1265
   2481     220    1242    1739
   2483     258    1243    2230
   2485     249    1244    2241
   2487     252    1245    2170
   2489     222    1246    1864
   2491     197    1247    1408
   2493     177    1248    1078
   2495     148    1249     765
   2497     130    1250     481
   2499     118    1251     263
   2501    94,0    1252     207
   2503    85,0    1253     173
   2505    81,0    1254     172
   2507    98,0    1255     183
   2509     101    1256     254
   2511     106    1257     299
   2513     116    1258     424
   2515    97,0    1259     562
   2517     130    1260     762
   2519     154    1261     899
   2521     143    1262     992
   2523     136    1263     915
   2525     136    1264     816
   2527     132    1265     622
   2529     102    1266     493
   2531     101    1267     334
   2533    89,0    1268     252
   2535    95,0    1269     204
   2537    79,0    1270     186
   2539    75,0    1271     178
   2541    96,0    1272     196
   2543    90,0    1273     270
   2545     103    1274     395
   2547    97,0    1275     623
   2549     146    1276     862
   2552     178    1277    1473
   2554     253    1278    2516
   2556     326    1279    3949
   2558     463    1280    5181
   2560     498    1281    5996
   2562     447    1282    5803
   2564     434    1283    4574
   2566     397    1284    3581
   2568     261    1285    2516
   2570     202    1286    1609
   2571     140    1287     973
   2573     116    1288     601
   2575     101    1289     442
   2577    95,0    1290     344
   2579    81,0    1291     284
   2581    94,0    1292     232
   2583    77,0    1293     241
   2585    81,0    1294     184
   2587    80,0    1295     232
   2589    91,0    1296     233
   2591    83,0    1297     307
   2594    90,0    1298     404
   2596     114    1299     567
   2598     117    1300     634
   2600    92,0    1301     595
   2602     101    1302     594
   2604    91,0    1303     494
   2606    89,0    1304     421
   2608     100    1305     281
   2610    85,0    1306     186
   2612    76,0    1307     149
   2614    73,0    1308    99,0
   2616    74,0    1309     103
   2618    60,0    1310    82,0
   2620    53,0    1311    70,0
   2622    62,0    1312    72,0
   2624    66,0    1313    64,0
   2626    66,0    1314    66,0
   2628    66,0    1315    60,0
   2630    69,0    1316    64,0
   2632    76,0    1317    53,0
   2634    53,0    1318    60,0
   2636    57,0    1319    56,0
   2638    53,0    1320    54,0
   2639     101    1321     101
   2644     135    1323     135
   2649     0,0    1326     0,0
   2654    67,3    1328     0,0
   2659    67,3    1331    33,6
   2664     0,0    1333     0,0
   2669     135    1336    33,6
   2674     101    1338     135
   2679     168    1340     101
   2684    67,3    1343    33,6
   2689    67,3    1345     0,0
   2694     101    1348    67,3
   2699     0,0    1351     0,0
   2704     101    1353    33,6
   2709     101    1356    67,3
   2714     0,0    1358    33,6
   2719     0,0    1360     0,0
   2724     168    1363     101
   2729    67,3    1365     0,0
   2734     0,0    1368    33,6
   2739    33,6    1370    33,6
   2744    67,3    1373    67,3
   2749     0,0    1375     101
   2754    33,6    1378    67,3
   2759     0,0    1380    33,6
   2764    67,3    1383    33,6
   2769    33,6    1385    33,6
   2774    67,3    1388     135
   2779    67,3    1390    67,3
   2784    33,6    1393    67,3
   2789    67,3    1395    33,6
   2794    67,3    1398    33,6
   2799    67,3    1400     0,0
   2804    67,3    1403     0,0
   2809    33,6    1405    33,6
