01.01.2007   N1106
Образец: "Ta"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2134     167    1069    66,7
   2139     200    1072    66,7
   2144     200    1074    33,3
   2149     233    1077    33,3
   2154     200    1079    33,3
   2159     233    1082    33,3
   2164     267    1084    66,7
   2169     200    1087    66,7
   2174     200    1089    33,3
   2179     333    1092    66,7
   2184     100    1094    66,7
   2189     133    1097     233
   2194     167    1099     367
   2199     100    1102     267
   2204     233    1104     133
   2209    33,3    1107     133
   2214     133    1109     133
   2219     167    1112     100
   2224     200    1114     133
   2229     233    1117     133
   2234     100    1119    66,7
   2239     267    1122    33,3
   2244     167    1124    66,7
   2249     233    1127     100
   2254    66,7    1129     267
   2259     200    1131     300
   2264     233    1134     734
   2269     200    1136    1234
   2274     167    1139     967
   2279     233    1141     333
   2284    66,7    1144     133
   2289     233    1146    33,3
   2294    66,7    1149    66,7
   2299     100    1151    66,7
   2304     167    1154    33,3
   2309     133    1156    33,3
   2314     133    1159     0,0
   2319     100    1161     0,0
   2324    66,7    1164    33,3
   2329    66,7    1166    33,3
   2334    66,7    1169    66,7
   2339     167    1171     100
   2344     133    1174    33,3
   2349    66,7    1176     133
   2354     167    1179     133
   2359     133    1181     100
   2364     167    1184    33,3
   2369     133    1186    33,3
   2374     167    1189     0,0
   2379     133    1191    66,7
   2384     167    1194    66,7
   2389     167    1196    66,7
   2394     133    1199     0,0
   2399     0,0    1201     0,0
   2404     200    1204    66,7
   2409    66,7    1206    33,3
   2414    66,7    1209     0,0
   2419    66,7    1211    33,3
   2424     133    1214    66,7
   2429    66,7    1216     0,0
   2434     133    1218    66,7
   2437     111    1220    31,0
   2439     114    1221    30,0
   2441     106    1222    28,0
   2443    94,0    1223    41,0
   2445    84,0    1224    40,0
   2447    89,0    1225    41,0
   2449     109    1226    39,0
   2451     102    1227    25,0
   2453    91,0    1228    27,0
   2455     108    1229    22,0
   2457     118    1230    25,0
   2459    86,0    1231    44,0
   2461    98,0    1232    31,0
   2463    91,0    1233    29,0
   2465     104    1234    37,0
   2467     106    1235    33,0
   2469    95,0    1236    29,0
   2471    93,0    1237    30,0
   2473    89,0    1238    39,0
   2475    89,0    1239    38,0
   2477    96,0    1240    38,0
   2479    93,0    1241    27,0
   2481    86,0    1242    34,0
   2483    97,0    1243    59,0
   2485     117    1244    50,0
   2487    86,0    1245    49,0
   2489    85,0    1246    60,0
   2491    77,0    1247    54,0
   2493    98,0    1248    71,0
   2495     103    1249    64,0
   2497     103    1250    60,0
   2499     102    1251    71,0
   2501    88,0    1252    63,0
   2503    98,0    1253    65,0
   2505    86,0    1254    66,0
   2507    81,0    1255    67,0
   2509    76,0    1256    75,0
   2511    97,0    1257    76,0
   2513    87,0    1258    79,0
   2515    76,0    1259    88,0
   2517    91,0    1260    72,0
   2519    73,0    1261    75,0
   2521    81,0    1262    79,0
   2523    72,0    1263    82,0
   2525    91,0    1264     101
   2527    92,0    1265    81,0
   2529    84,0    1266    75,0
   2531    92,0    1267    97,0
   2533    77,0    1268    89,0
   2535    94,0    1269    64,0
   2537    90,0    1270    84,0
   2539    84,0    1271    78,0
   2541    80,0    1272    83,0
   2543    81,0    1273    80,0
   2545    91,0    1274    73,0
   2547    71,0    1275     101
   2549    96,0    1276     171
   2552     113    1277     239
   2554     101    1278     351
   2556     107    1279     490
   2558     127    1280     805
   2560     165    1281    1256
   2562     191    1282    1713
   2564     219    1283    2182
   2566     229    1284    2234
   2568     214    1285    2058
   2570     210    1286    1746
   2571     179    1287    1301
   2573     133    1288     907
   2575     115    1289     602
   2577    92,0    1290     344
   2579    97,0    1291     232
   2581    73,0    1292     175
   2583    86,0    1293     147
   2585    86,0    1294     127
   2587    73,0    1295     116
   2589    88,0    1296     107
   2591    63,0    1297     103
   2594    83,0    1298     121
   2596    81,0    1299     168
   2598    74,0    1300     199
   2600    90,0    1301     262
   2602    94,0    1302     352
   2604     105    1303     574
   2606     114    1304     769
   2608     125    1305    1020
   2610     141    1306    1057
   2612     154    1307     941
   2614     144    1308     807
   2616     113    1309     630
   2618     104    1310     468
   2620    89,0    1311     296
   2622    82,0    1312     217
   2624    69,0    1313     162
   2626    87,0    1314     164
   2628    64,0    1315     142
   2630    87,0    1316     139
   2632    76,0    1317     166
   2634    64,0    1318     195
   2636    79,0    1319     338
   2638    94,0    1320     501
   2640     122    1321     812
   2642     161    1322    1484
   2644     229    1323    2500
   2646     338    1324    4198
   2648     470    1325    5536
   2650     478    1326    5915
   2652     429    1327    5464
   2654     359    1328    4289
   2656     301    1329    3209
   2658     223    1330    2116
   2660     163    1331    1270
   2662     107    1332     705
   2664    88,0    1333     414
   2666    85,0    1334     276
   2668    65,0    1335     235
   2670    69,0    1336     192
   2672    72,0    1337     179
   2674    66,0    1338     153
   2676    69,0    1339     183
   2678    79,0    1340     224
   2680    73,0    1341     273
   2682    71,0    1342     447
   2684    81,0    1343     554
   2686     114    1344     692
   2688    90,0    1345     699
   2690     111    1346     637
   2692    72,0    1347     484
   2694    82,0    1348     397
   2696    87,0    1349     279
   2698    72,0    1350     186
   2700    58,0    1351     131
   2702    69,0    1352     100
   2704    79,0    1353    99,0
   2706    65,0    1354    66,0
   2708    57,0    1355    63,0
   2710    58,0    1356    57,0
   2712    47,0    1357    68,0
   2714    57,0    1358    48,0
   2716    53,0    1359    44,0
   2718    63,0    1360    59,0
   2719     100    1360    66,7
   2724    66,7    1363    66,7
   2729    66,7    1365    33,3
   2734    33,3    1368    33,3
   2739    33,3    1370     0,0
   2744    33,3    1373     100
   2749    33,3    1375    66,7
   2754    66,7    1378     0,0
   2759    33,3    1380    33,3
   2764     0,0    1383    66,7
   2769    33,3    1385     0,0
   2774     0,0    1388     100
   2779    66,7    1390     0,0
   2784    66,7    1393     167
   2789     100    1395    33,3
   2794    66,7    1398     100
   2799     0,0    1400    33,3
   2804     0,0    1403    66,7
   2809    33,3    1405    33,3
   2814    66,7    1408    66,7
   2819     0,0    1410    66,7
   2824     0,0    1413    33,3
   2829    33,3    1415     0,0
   2834    33,3    1418    66,7
   2839     0,0    1420    66,7
   2844    33,3    1422     0,0
   2849    33,3    1425    33,3
   2854    66,7    1427    66,7
   2859    33,3    1430    66,7
   2864     0,0    1432    33,3
   2869    33,3    1435     0,0
   2874    33,3    1437     0,0
   2879     0,0    1440    33,3
   2884    33,3    1442     0,0
   2889    66,7    1445    33,3
   2894    33,3    1447     0,0
   2899    33,3    1450    33,3
   2899    29,0    1450    57,0
   2901    29,0    1451    45,0
   2903    33,0    1452    35,0
   2905    29,0    1453    40,0
   2907    41,0    1454    49,0
   2909    32,0    1455    38,0
   2911    37,0    1456    48,0
   2913    48,0    1457    41,0
   2915    32,0    1458    36,0
   2917    31,0    1459    49,0
   2919    36,0    1460    60,0
   2921    20,0    1461    47,0
   2923    29,0    1462    52,0
   2925    30,0    1463    56,0
   2927    34,0    1464    60,0
   2929    18,0    1465    58,0
   2931    33,0    1466    71,0
   2933    46,0    1467    84,0
   2935    32,0    1468    90,0
   2937    38,0    1469     115
   2939    34,0    1470    92,0
   2941    38,0    1471     135
   2943    30,0    1472    97,0
   2945    31,0    1473    76,0
   2947    24,0    1474    71,0
   2949    40,0    1475    68,0
   2951    20,0    1476    55,0
   2953    27,0    1477    68,0
   2955    35,0    1478    53,0
   2957    29,0    1479    47,0
   2959    30,0    1480    56,0
   2961    28,0    1481    47,0
   2963    26,0    1482    43,0
   2965    23,0    1483    51,0
   2967    19,0    1484    48,0
   2969    30,0    1485    48,0
   2971    33,0    1486    45,0
   2973    25,0    1487    54,0
   2975    24,0    1488    42,0
   2977    37,0    1489    65,0
   2979    32,0    1490    55,0
   2981    33,0    1491    56,0
   2983    33,0    1492    53,0
   2985    19,0    1493    43,0
   2987    16,0    1494    57,0
   2989    23,0    1495    66,0
   2991    17,0    1496    54,0
   2993    21,0    1497    50,0
   2995    28,0    1498    67,0
   2997    25,0    1499    45,0
   2999    23,0    1500    44,0
   3004    66,7    1502     133
   3009     0,0    1505     100
   3014     0,0    1508     133
   3019    32,0    1510    91,0
   3021    36,0    1511     107
   3023    26,0    1512     115
   3025    25,0    1513     130
   3027    28,0    1514     173
   3029    37,0    1515     242
   3031    27,0    1516     352
   3033    54,0    1517     558
   3035    66,0    1518    1068
   3037     148    1519    2161
   3039     258    1520    4113
   3041     354    1521    5338
   3043     312    1522    5130
   3045     295    1523    4022
   3047     165    1524    2486
   3049    89,0    1525    1261
   3051    72,0    1526     638
   3053    41,0    1527     345
   3055    33,0    1528     275
   3057    28,0    1529     253
   3059    38,0    1530     347
   3061    44,0    1531     530
   3063    49,0    1532     647
   3065    53,0    1533     618
   3067    44,0    1534     494
   3069    45,0    1535     304
   3071    27,0    1536     239
   3073    31,0    1537     151
   3075    20,0    1538     128
   3077    21,0    1539     128
   3079    21,0    1540     167
   3084    33,3    1543     100
   3089     0,0    1545    66,7
   3094     0,0    1548    66,7
   3099     0,0    1550    66,7
   3104    33,3    1553    66,7
   3109    33,3    1555     0,0
   3114    66,7    1558     133
   3119     0,0    1560    66,7
   3124     0,0    1563    66,7
   3129     0,0    1565     0,0
   3134     0,0    1568     0,0
   3139     0,0    1570    66,7
   3144     0,0    1573    66,7
   3149    33,3    1575    33,3
