01.01.2007   N1106
Образец: "20c"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2119     437    1062     0,0
   2124     403    1064     0,0
   2129     471    1067     0,0
   2134     403    1069    33,6
   2139     303    1072    33,6
   2144     336    1074     0,0
   2149     437    1077    33,6
   2154     538    1079    33,6
   2159     437    1082    33,6
   2164     235    1084    33,6
   2169     504    1087    33,6
   2174     370    1089    33,6
   2179     303    1092    33,6
   2184     370    1094     0,0
   2189     403    1097     0,0
   2194     471    1099     0,0
   2199     336    1102     0,0
   2204     403    1104    33,6
   2209     504    1107    33,6
   2214     235    1109    33,6
   2219     370    1112    33,6
   2224     336    1114     0,0
   2229     336    1117     0,0
   2234     303    1119     0,0
   2239     336    1122    33,6
   2244     303    1124    33,6
   2249     437    1127    33,6
   2254     370    1129    33,6
   2259     303    1131    33,6
   2264     235    1134     0,0
   2269     303    1136    33,6
   2274     437    1139    33,6
   2279     370    1141    67,2
   2284     504    1144    33,6
   2289     403    1146    33,6
   2294     269    1149     0,0
   2299     336    1151     0,0
   2304     403    1154     0,0
   2309     336    1156    33,6
   2314     303    1159     0,0
   2319     303    1161    33,6
   2324     303    1164    67,2
   2329     235    1166    33,6
   2334     269    1169    67,2
   2339     336    1171    33,6
   2344     336    1174    33,6
   2349     235    1176    33,6
   2354     303    1179    33,6
   2359     202    1181     0,0
   2364     269    1184    67,2
   2369     403    1186    33,6
   2374     235    1189    33,6
   2379     269    1191    33,6
   2384     134    1194     0,0
   2389     403    1196     0,0
   2394     202    1199    33,6
   2399     303    1201    67,2
   2404     235    1204     0,0
   2409     269    1206    67,2
   2414     269    1209     0,0
   2419     303    1211    67,2
   2424     134    1214    33,6
   2429     303    1216    33,6
   2434     235    1218    67,2
   2439     303    1221    33,6
   2444     235    1223    33,6
   2449     370    1226    33,6
   2454     235    1229    33,6
   2459     134    1231    33,6
   2464     134    1234     0,0
   2469     168    1236     0,0
   2474     235    1238     0,0
   2479     168    1241    33,6
   2484     303    1243    67,2
   2489     269    1246    67,2
   2494     269    1248    67,2
   2499     202    1251    33,6
