01.01.2007   N1106
Образец: "Bi"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2284     605    1144    6421
   2289     370    1146    3227
   2294     202    1149    1042
   2299    33,6    1151     740
   2304     134    1154     672
   2309     134    1156     504
   2314    33,6    1159     269
   2319     168    1161     168
   2324    33,6    1164    33,6
   2329    33,6    1166     134
   2334     101    1169     168
   2339     101    1171     134
   2344     101    1174     168
   2349     0,0    1176     202
   2354    67,2    1179    67,2
   2359    33,6    1181    67,2
   2364    33,6    1184     101
   2369     101    1186    67,2
   2374    33,6    1189    67,2
   2379     0,0    1191    67,2
   2384    67,2    1194    33,6
   2389    33,6    1196     101
   2394    67,2    1199     101
   2399    67,2    1201    33,6
   2404    33,6    1204    33,6
   2409    33,6    1206    33,6
   2414    67,2    1209    67,2
   2419    67,2    1211    67,2
   2424     0,0    1214    67,2
   2429    67,2    1216     101
   2434     134    1218    33,6
   2439    33,6    1221    67,2
   2444    33,6    1223    67,2
   2449     0,0    1226    33,6
   2454    33,6    1229    33,6
   2459    33,6    1231     0,0
   2464     0,0    1234    33,6
   2469    33,6    1236     0,0
   2474    33,6    1238    67,2
   2479    33,6    1241    67,2
   2484    33,6    1243    67,2
   2489     0,0    1246    33,6
   2494    67,2    1248     0,0
   2499    67,2    1251    33,6
   2504    33,6    1253    67,2
   2509     0,0    1256     0,0
   2514    33,6    1258     0,0
   2519     0,0    1261    33,6
   2524     0,0    1263     0,0
   2529    33,6    1266     0,0
   2534    33,6    1268     0,0
   2539    33,6    1271     0,0
   2544    33,6    1273    67,2
   2549    67,2    1276    67,2
   2554     101    1278    33,6
   2559    33,6    1281    67,2
   2564     0,0    1283     0,0
   2569    33,6    1286     0,0
   2574    33,6    1288    33,6
   2579    67,2    1291    33,6
   2584    33,6    1293     0,0
   2589    67,2    1296    33,6
   2594    33,6    1298     0,0
   2599    67,2    1301    33,6
   2604    33,6    1303    33,6
   2609     0,0    1306    67,2
   2614    67,2    1308     101
   2619    33,6    1311     101
   2624     101    1313     202
   2629    33,6    1316     235
   2634    33,6    1318     168
   2639     0,0    1321    67,2
   2644    67,2    1323    67,2
   2649     0,0    1326    33,6
   2654    33,6    1328    67,2
   2659     0,0    1331     0,0
   2664     0,0    1333    33,6
   2669    33,6    1336    67,2
   2674    33,6    1338     0,0
   2679     0,0    1340     0,0
   2684    67,2    1343    67,2
   2689     0,0    1345     0,0
   2694     0,0    1348    67,2
   2699     0,0    1351     0,0
   2704     0,0    1353    33,6
   2709    33,6    1356     0,0
   2714     0,0    1358    33,6
   2719    67,2    1360    33,6
   2724    33,6    1363     0,0
   2729     0,0    1365    33,6
   2734     0,0    1368    67,2
   2739     0,0    1370    33,6
   2744    67,2    1373     0,0
   2749     0,0    1375     0,0
   2754     0,0    1378    33,6
   2759    67,2    1380    33,6
   2764     0,0    1383     0,0
   2769    33,6    1385     134
   2774    67,2    1388     0,0
   2779    33,6    1390    67,2
   2784    67,2    1393    33,6
   2789     0,0    1395     0,0
   2794    33,6    1398    67,2
   2799    33,6    1400     0,0
   2804    67,2    1403    33,6
   2809     0,0    1405    33,6
   2814     0,0    1408    33,6
   2819     0,0    1410    33,6
   2824     0,0    1413    67,2
   2829    67,2    1415    33,6
   2834    33,6    1418     101
   2839     0,0    1420     0,0
   2844    33,6    1422    33,6
   2849    33,6    1425     134
   2854     101    1427     202
   2859     0,0    1430    33,6
