01.01.2007   N1106
Образец: "Pt"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2139    67,1    1072    67,1
   2144     101    1074    67,1
   2149     101    1077    67,1
   2154    33,6    1079     101
   2159     101    1082     134
   2164    33,6    1084     101
   2169     101    1087     101
   2174     0,0    1089     201
   2176    72,0    1090     163
   2178    80,0    1091     205
   2180    73,0    1092     261
   2182    94,0    1093     377
   2184    87,0    1094     450
   2186     102    1095     541
   2188     122    1096     760
   2190     151    1097     901
   2192     157    1098    1241
   2194     181    1099    1446
   2196     195    1100    1695
   2198     222    1101    1849
   2200     211    1102    1835
   2202     210    1103    1675
   2204     187    1104    1494
   2206     164    1105    1250
   2208     151    1106     944
   2210     121    1107     679
   2212    90,0    1108     523
   2214    85,0    1109     414
   2216    92,0    1110     414
   2218    99,0    1111     510
   2220    91,0    1112     605
   2222     131    1113     889
   2224     150    1114    1248
   2226     192    1115    1677
   2228     267    1116    2305
   2230     316    1117    3031
   2232     380    1118    3495
   2234     373    1119    3629
   2236     419    1120    3563
   2238     374    1121    3204
   2240     283    1122    2594
   2242     235    1123    2010
   2244     188    1124    1417
   2246     154    1125     862
   2248     105    1126     552
   2250    76,0    1127     281
   2252    68,0    1128     212
   2254    72,0    1129     132
   2256    59,0    1130     136
   2259    33,6    1131    67,1
   2264    67,1    1134    33,6
   2269     101    1136     134
   2274    67,1    1139     436
   2279    33,6    1141     436
   2284    67,1    1144     369
   2289    33,6    1146     201
   2294     101    1149     101
   2299    33,6    1151    67,1
   2304    33,6    1154    67,1
   2309    67,1    1156    67,1
   2314     101    1159    33,6
   2319    33,6    1161    33,6
   2324    67,1    1164    33,6
   2329     0,0    1166     0,0
   2334     101    1169    33,6
   2339    33,6    1171     0,0
   2344     0,0    1174     0,0
   2349    67,1    1176    67,1
   2354     0,0    1179    67,1
   2359     0,0    1181    33,6
   2364    67,1    1184    33,6
   2369    67,1    1186     0,0
   2374     101    1189    33,6
   2379    33,6    1191    67,1
   2384    33,6    1194    33,6
   2389     0,0    1196    67,1
   2394    67,1    1199    67,1
   2399     0,0    1201     0,0
   2404     0,0    1204    33,6
   2409     101    1206    33,6
   2414     0,0    1209     0,0
   2419    33,6    1211    67,1
   2424    33,6    1214    67,1
   2429     0,0    1216     0,0
   2434    67,1    1218     0,0
   2439    67,1    1221     0,0
