01.01.2007   N1106
Образец: "gold"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2159     370    1082    2523
   2164     437    1084    2085
   2169     336    1087    1244
   2174     235    1089     437
   2179     101    1092     135
   2184     101    1094     135
   2189    67,3    1097     101
   2194     202    1099    67,3
   2199    67,3    1102     168
   2204     202    1104     269
   2209     168    1107     235
   2214     135    1109     168
   2219     168    1112     101
   2224    67,3    1114    33,6
   2229    33,6    1117    33,6
   2234     101    1119    33,6
   2239    33,6    1122     0,0
   2244    67,3    1124    33,6
   2249     101    1127    33,6
   2254     135    1129    33,6
   2259    33,6    1131    33,6
   2264    67,3    1134    33,6
   2269    33,6    1136     0,0
   2274     135    1139    33,6
   2279    67,3    1141     0,0
   2284    33,6    1144    33,6
   2289    33,6    1146    67,3
   2294     101    1149    67,3
   2299    67,3    1151     0,0
   2304     101    1154    33,6
   2309    67,3    1156    67,3
   2314    33,6    1159    33,6
   2319    67,3    1161     0,0
   2324     135    1164    33,6
   2329    67,3    1166     0,0
   2334     135    1169     0,0
   2339    67,3    1171    33,6
   2344    33,6    1174    33,6
   2349    67,3    1176    33,6
   2354     101    1179     0,0
   2359     101    1181    67,3
   2364     101    1184    33,6
   2369     269    1186    33,6
   2374     101    1189     0,0
   2379    67,3    1191    67,3
   2384     135    1194    33,6
   2389     135    1196    67,3
   2394    33,6    1199    33,6
   2399    33,6    1201    67,3
   2404    67,3    1204    67,3
   2409     0,0    1206    67,3
   2414    67,3    1209    33,6
   2419     101    1211     0,0
   2424    33,6    1214    33,6
   2429     135    1216     0,0
   2434    67,3    1218    67,3
   2439     135    1221     0,0
   2444    67,3    1223    33,6
   2449    33,6    1226    33,6
   2454    67,3    1229    33,6
   2459     101    1231    67,3
   2464     101    1234    33,6
   2469     101    1236     0,0
   2474    33,6    1238    67,3
   2479    33,6    1241     0,0
   2484     101    1243    33,6
   2489    33,6    1246    33,6
   2494    67,3    1248     0,0
