01.01.2007   N1106
Образец: "Au"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2249     135    1127     101
   2254     101    1129    33,6
   2259     168    1131    33,6
   2264     101    1134    67,3
   2269     135    1136     101
   2274    67,3    1139     101
   2279     135    1141    67,3
   2284    33,6    1144    33,6
   2289     101    1146    67,3
   2294     101    1149    67,3
   2299    33,6    1151    33,6
   2304    67,3    1154    67,3
   2309     101    1156     135
   2314    67,3    1159     101
   2319    67,3    1161    67,3
   2324    33,6    1164    33,6
   2329     101    1166    67,3
   2334    33,6    1169    67,3
   2339    67,3    1171     101
   2344    67,3    1174     135
   2349     101    1176    33,6
   2354     202    1179     101
   2359    67,3    1181    67,3
   2364    33,6    1184    33,6
   2369     202    1186     101
   2374     101    1189    33,6
   2379    33,6    1191    33,6
   2384    33,6    1194    67,3
   2389    33,6    1196    67,3
   2394    33,6    1199     101
   2399     168    1201    67,3
   2404    67,3    1204    33,6
   2409    33,6    1206    67,3
   2414     101    1209    67,3
   2419     0,0    1211    67,3
   2424    33,6    1214    33,6
   2429    67,3    1216    33,6
   2434     168    1218    67,3
   2439    67,3    1221    67,3
   2444     0,0    1223    33,6
   2449    33,6    1226    67,3
   2454     0,0    1229    67,3
   2459    33,6    1231    33,6
   2464    67,3    1234     0,0
   2469     135    1236    67,3
   2474    67,3    1238     0,0
   2479     135    1241    33,6
   2484     101    1243    67,3
   2489    33,6    1246    33,6
   2494     135    1248    67,3
   2499    67,3    1251    67,3
   2504    67,3    1253    33,6
   2509    67,3    1256    33,6
   2514    33,6    1258    67,3
   2519    67,3    1261    33,6
   2524    67,3    1263    67,3
   2529    67,3    1266     135
   2534    67,3    1268     538
   2539     202    1271    1379
   2544     336    1273    3498
   2549     471    1276    4204
   2554     269    1278    3061
   2559     135    1281    1177
   2564     135    1283     505
   2569    67,3    1286     572
   2574    67,3    1288     437
   2579     135    1291     235
   2584    33,6    1293    67,3
   2589     135    1296     101
   2594     101    1298     135
   2599     202    1301    33,6
   2604    33,6    1303    67,3
   2609    33,6    1306    67,3
   2614     135    1308    33,6
