01.01.2007   N1106
Образец: "Nd"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2124    1309    1064     0,0
   2129    1175    1067    33,6
   2134     705    1069     0,0
   2139     470    1072     0,0
   2144     201    1074     0,0
   2149     235    1077    33,6
   2150     266    1077    10,0
   2151     350    1078    16,0
   2152     424    1078     8,0
   2153     587    1079    12,0
   2154     812    1079    10,0
   2155    1089    1080    11,0
   2156    1487    1080    16,0
   2157    2030    1081    14,0
   2158    2788    1081    20,0
   2159    3529    1082    12,0
   2160    4201    1082    16,0
   2161    4719    1083    17,0
   2162    5194    1083     9,0
   2163    5436    1084    12,0
   2164    5705    1084    27,0
   2165    5720    1085    15,0
   2166    5699    1085    22,0
   2167    5523    1086    14,0
   2168    5469    1086    17,0
   2169    5098    1087    17,0
   2170    4897    1087    13,0
   2171    4713    1088    14,0
   2172    4257    1088    18,0
   2173    3966    1089    10,0
   2174    3423    1089    14,0
   2175    2827    1090    10,0
   2176    2272    1090    15,0
   2177    1711    1091    14,0
   2178    1253    1091     8,0
   2179     949    1092    12,0
   2180     691    1092    12,0
   2181     610    1093    10,0
   2182     447    1093    13,0
   2183     312    1094    11,0
   2184     260    1094    13,0
   2185     224    1095    10,0
   2186     173    1095     9,0
   2187     145    1096     9,0
   2188     123    1096    11,0
   2189    96,0    1097     7,0
   2190     123    1097     5,0
   2194    33,6    1099    33,6
   2199    67,2    1102    33,6
   2204     101    1104     0,0
   2209     168    1107     0,0
   2214    33,6    1109     0,0
   2219    33,6    1112     0,0
   2224    33,6    1114    33,6
   2229     101    1117     0,0
   2234    67,2    1119     0,0
   2239    67,2    1122     0,0
   2244    33,6    1124     0,0
   2249    33,6    1127     0,0
   2254     0,0    1129     0,0
   2259    33,6    1131     0,0
   2264    33,6    1134     0,0
   2269    33,6    1136     0,0
   2274     0,0    1139    33,6
   2279    67,2    1141    33,6
   2284    33,6    1144     0,0
   2289    33,6    1146    33,6
