T,P
19,16.48
20,17.54
21,18.66
22,19.83
23,21.08
24,22.39
25,23.77
26,25.22
27,26.75
28,28.36
29,30.06
30,31.84
31,33.72
32,35.69
33,37.75
34,39.93
35,42.2
36,44.6
37,47.1
38,49.73
39,52.49
40,55.37
