f;U
10.0;0.0715
13.0;0.0943
15.0;0.1268
16.0;0.1565
17.0;0.2081
17.5;0.2507
18.0;0.3163
18.3;0.3753
18.6;0.459
18.9;0.5822
19.1;0.6928
19.2;0.7521
19.3;0.8089
19.4;0.8593
19.5;0.8915
19.6;0.8984
19.7;0.8791
19.8;0.8388
19.9;0.7862
20.0;0.7319
20.1;0.6734
20.2;0.618
20.5;0.4808
20.8;0.384
21.1;0.316
21.4;0.2663
21.7;0.2294
22.3;0.1782
23.0;0.1402
24.0;0.1063
26.0;0.0705
28.0;0.0459
