f;phi/pi
30.7;0.1098
31.0;0.1235
31.3;0.1625
31.6;0.2025
31.9;0.2821
32.1;0.3462
32.2;0.3896
32.3;0.4416
32.4;0.4935
32.5;0.5455
32.6;0.5921
32.7;0.6316
32.9;0.7105
33.1;0.7600
33.4;0.8133
33.7;0.8514
34.0;0.8904
